customer_id,age,gender,pref
C0001,26,M,Osaka
C0002,56,M,Tokyo
C0003,61,M,Chiba
C0004,30,F,Saitama
C0005,23,M,Aichi
C0006,44,F,Tokyo
C0007,27,M,Chiba
C0008,34,F,Aichi
C0009,52,F,Kanagawa
C0010,28,F,Osaka
C0011,37,F,Aichi
C0012,35,F,Chiba
C0013,55,F,Saitama
C0014,59,F,Osaka
C0015,63,M,Chiba
C0016,23,M,Osaka
C0017,58,M,Chiba
C0018,32,M,Aichi
C0019,64,M,Chiba
C0020,45,M,Osaka
C0021,65,F,Tokyo
C0022,38,F,Chiba
C0023,34,F,Tokyo
C0024,61,M,Kanagawa
C0025,36,M,Tokyo
C0026,58,M,Kanagawa
C0027,20,F,Tokyo
C0028,53,F,Tokyo
C0029,65,M,Saitama
C0030,32,M,Saitama
C0031,69,M,Aichi
C0032,19,F,Aichi
C0033,24,F,Chiba
C0034,34,M,Aichi
C0035,34,M,Tokyo
C0036,49,M,Osaka
C0037,63,F,Kanagawa
C0038,23,M,Saitama
C0039,56,F,Kanagawa
C0040,60,F,Kanagawa
C0041,48,F,Chiba
C0042,69,M,Tokyo
C0043,23,F,Kanagawa
C0044,56,M,Osaka
C0045,39,F,Aichi
C0046,39,F,Aichi
C0047,49,F,Chiba
C0048,59,M,Osaka
C0049,43,M,Saitama
C0050,32,M,Kanagawa
C0051,31,F,Aichi
C0052,67,F,Osaka
C0053,39,M,Tokyo
C0054,37,F,Aichi
C0055,47,M,Tokyo
C0056,53,F,Chiba
C0057,19,F,Chiba
C0058,18,M,Kanagawa
C0059,47,M,Saitama
C0060,50,F,Tokyo
C0061,43,F,Saitama
C0062,33,F,Aichi
C0063,58,M,Chiba
C0064,23,M,Saitama
C0065,51,F,Tokyo
C0066,40,M,Saitama
C0067,37,M,Saitama
C0068,23,F,Chiba
C0069,52,M,Tokyo
C0070,27,F,Saitama
C0071,46,M,Osaka
C0072,64,F,Tokyo
C0073,56,M,Kanagawa
C0074,21,M,Tokyo
C0075,69,F,Kanagawa
C0076,50,F,Tokyo
C0077,61,M,Chiba
C0078,21,M,Tokyo
C0079,65,M,Chiba
C0080,55,M,Chiba
C0081,63,F,Tokyo
C0082,68,F,Tokyo
C0083,61,M,Saitama
C0084,40,F,Aichi
C0085,61,M,Kanagawa
C0086,68,F,Osaka
C0087,65,F,Aichi
C0088,51,F,Chiba
C0089,67,M,Saitama
C0090,48,F,Chiba
C0091,41,F,Osaka
C0092,26,M,Chiba
C0093,42,F,Aichi
C0094,67,F,Aichi
C0095,24,M,Osaka
C0096,62,M,Saitama
C0097,51,M,Osaka
C0098,24,M,Saitama
C0099,29,M,Saitama
C0100,19,M,Kanagawa
C0101,56,M,Tokyo
C0102,36,F,Kanagawa
C0103,27,M,Tokyo
C0104,26,M,Aichi
C0105,44,F,Tokyo
C0106,35,F,Chiba
C0107,65,F,Aichi
C0108,67,F,Saitama
C0109,28,M,Chiba
C0110,62,M,Osaka
C0111,21,F,Chiba
C0112,40,F,Osaka
C0113,48,F,Osaka
C0114,32,F,Osaka
C0115,51,F,Chiba
C0116,48,M,Saitama
C0117,66,M,Saitama
C0118,66,M,Kanagawa
C0119,60,M,Tokyo
C0120,59,F,Saitama
C0121,35,F,Aichi
C0122,63,M,Kanagawa
C0123,36,F,Aichi
C0124,57,M,Osaka
C0125,43,F,Osaka
C0126,44,F,Kanagawa
C0127,60,M,Aichi
C0128,25,M,Tokyo
C0129,62,F,Aichi
C0130,60,M,Aichi
C0131,42,M,Kanagawa
C0132,51,M,Aichi
C0133,31,M,Osaka
C0134,58,M,Kanagawa
C0135,24,F,Saitama
C0136,56,M,Aichi
C0137,53,M,Kanagawa
C0138,30,M,Aichi
C0139,60,F,Osaka
C0140,32,F,Saitama
C0141,46,F,Saitama
C0142,62,F,Osaka
C0143,21,M,Kanagawa
C0144,39,F,Saitama
C0145,50,F,Kanagawa
C0146,27,F,Kanagawa
C0147,44,M,Saitama
C0148,51,M,Kanagawa
C0149,63,F,Saitama
C0150,33,F,Tokyo
C0151,61,M,Kanagawa
C0152,51,F,Tokyo
C0153,44,M,Osaka
C0154,48,F,Chiba
C0155,69,M,Saitama
C0156,52,F,Saitama
C0157,40,M,Chiba
C0158,69,F,Kanagawa
C0159,53,F,Aichi
C0160,32,F,Osaka
C0161,49,F,Chiba
C0162,68,M,Chiba
C0163,54,F,Tokyo
C0164,57,M,Saitama
C0165,52,F,Osaka
C0166,62,M,Chiba
C0167,22,M,Tokyo
C0168,59,F,Osaka
C0169,64,M,Kanagawa
C0170,19,M,Aichi
C0171,58,F,Tokyo
C0172,44,M,Saitama
C0173,38,M,Saitama
C0174,23,F,Osaka
C0175,34,F,Kanagawa
C0176,53,F,Osaka
C0177,44,M,Chiba
C0178,21,M,Chiba
C0179,33,F,Chiba
C0180,19,M,Kanagawa
C0181,36,F,Tokyo
C0182,65,F,Osaka
C0183,57,M,Saitama
C0184,65,F,Kanagawa
C0185,26,F,Aichi
C0186,50,F,Saitama
C0187,33,M,Aichi
C0188,41,M,Saitama
C0189,68,F,Chiba
C0190,61,F,Tokyo
C0191,54,F,Saitama
C0192,68,M,Saitama
C0193,43,M,Saitama
C0194,20,F,Kanagawa
C0195,65,F,Chiba
C0196,23,F,Osaka
C0197,31,M,Tokyo
C0198,65,F,Tokyo
C0199,64,F,Osaka
C0200,23,M,Saitama
C0201,62,F,Osaka
C0202,55,M,Tokyo
C0203,23,F,Chiba
C0204,46,F,Osaka
C0205,31,M,Kanagawa
C0206,45,F,Chiba
C0207,27,M,Kanagawa
C0208,23,M,Chiba
C0209,51,M,Tokyo
C0210,55,F,Osaka
C0211,27,M,Aichi
C0212,49,M,Chiba
C0213,43,F,Kanagawa
C0214,66,F,Chiba
C0215,47,M,Chiba
C0216,43,F,Chiba
C0217,18,M,Kanagawa
C0218,65,M,Chiba
C0219,52,M,Chiba
C0220,27,F,Tokyo
C0221,18,F,Osaka
C0222,28,M,Saitama
C0223,44,F,Tokyo
C0224,67,F,Kanagawa
C0225,50,M,Chiba
C0226,23,F,Aichi
C0227,28,M,Osaka
C0228,30,F,Tokyo
C0229,21,M,Kanagawa
C0230,25,M,Kanagawa
C0231,22,M,Chiba
C0232,54,F,Tokyo
C0233,53,M,Aichi
C0234,58,F,Kanagawa
C0235,27,M,Saitama
C0236,64,F,Osaka
C0237,37,M,Chiba
C0238,25,M,Chiba
C0239,26,M,Kanagawa
C0240,34,M,Tokyo
C0241,22,F,Tokyo
C0242,34,M,Kanagawa
C0243,52,F,Kanagawa
C0244,68,F,Kanagawa
C0245,18,F,Chiba
C0246,48,F,Aichi
C0247,30,F,Osaka
C0248,35,M,Saitama
C0249,51,M,Chiba
C0250,33,F,Kanagawa
C0251,40,F,Kanagawa
C0252,34,M,Chiba
C0253,36,M,Osaka
C0254,55,M,Aichi
C0255,33,F,Tokyo
C0256,46,M,Chiba
C0257,59,F,Kanagawa
C0258,50,F,Saitama
C0259,57,F,Osaka
C0260,42,M,Aichi
C0261,42,M,Tokyo
C0262,19,F,Saitama
C0263,54,F,Aichi
C0264,53,F,Tokyo
C0265,44,M,Kanagawa
C0266,55,M,Saitama
C0267,52,M,Tokyo
C0268,27,F,Kanagawa
C0269,29,M,Aichi
C0270,51,F,Tokyo
C0271,23,M,Osaka
C0272,63,F,Kanagawa
C0273,36,M,Saitama
C0274,49,M,Tokyo
C0275,45,M,Kanagawa
