date,store,product,category,qty,price,amount,customer_id
2025-01-01,Tokyo,P012,A,3,2750,8250.0,C0130
2025-01-01,Tokyo,P013,B,1,3780,3780.0,C0061
2025-01-01,Tokyo,P002,C,3,4900,14700.0,C0220
2025-01-01,Tokyo,P012,A,3,4140,12420.0,C0154
2025-01-01,Tokyo,P002,C,4,2800,11200.0,C0150
2025-01-01,Tokyo,P006,A,1,4700,4700.0,C0234
2025-01-01,Tokyo,P010,B,2,4290,8580.0,C0164
2025-01-01,Tokyo,P007,B,2,1900,3800.0,C0028
2025-01-01,Tokyo,P009,A,4,1250,5000.0,C0257
2025-01-01,Tokyo,P013,B,2,3520,7040.0,C0050
2025-01-01,Osaka,P011,C,2,1270,2540.0,C0291
2025-01-01,Osaka,P007,B,4,3710,14840.0,C0233
2025-01-01,Osaka,P012,A,1,2450,2450.0,C0140
2025-01-01,Osaka,P008,C,1,3180,3180.0,C0047
2025-01-01,Osaka,P012,A,3,4690,14070.0,C0223
2025-01-01,Osaka,P006,A,4,2640,10560.0,C0098
2025-01-01,Osaka,P014,C,2,1300,2600.0,C0141
2025-01-01,Osaka,P012,A,1,2850,2850.0,C0039
2025-01-01,Osaka,P011,C,2,2320,4640.0,C0068
2025-01-01,Osaka,P009,A,3,4760,14280.0,C0131
2025-01-01,Osaka,P003,A,4,3510,14040.0,C0210
2025-01-01,Osaka,P002,C,2,4070,8140.0,C0249
2025-01-01,Osaka,P007,B,4,4360,17440.0,C0116
2025-01-01,Osaka,P014,C,2,1950,3900.0,C0205
2025-01-01,Osaka,P010,B,1,4330,4330.0,C0060
2025-01-01,Osaka,P013,B,1,4180,4180.0,C0236
2025-01-01,Osaka,P012,A,3,2880,8640.0,C0211
2025-01-01,Nagoya,P012,A,3,2830,8490.0,C0152
2025-01-01,Nagoya,P009,A,1,1550,1550.0,C0074
2025-01-01,Nagoya,P002,C,2,3670,7340.0,C0196
2025-01-01,Nagoya,P008,C,4,3260,13040.0,C0024
2025-01-01,Nagoya,P012,A,3,3530,10590.0,C0170
2025-01-01,Nagoya,P009,A,1,3230,3230.0,C0238
2025-01-01,Nagoya,P005,C,3,1120,3360.0,C0104
2025-01-01,Nagoya,P007,B,4,1850,7400.0,C0083
2025-01-01,Nagoya,P007,B,4,4410,17640.0,C0011
2025-01-01,Nagoya,P004,B,4,1230,4920.0,C0256
2025-01-01,Nagoya,P005,C,4,2170,8680.0,C0130
